n: 9, k: 1000, t: 500, y: (((...)))
Entropy, Sampling, Jensen, Exact
0.9727138175190904, -0.0569279435693752, -0.08986929187566614, -0.061633246293380566
0.38970253217120304, -0.21936877966485918, -0.22809753395105709, -0.2172554841981248
0.8803424083459009, -0.4177707466762513, -0.6501686191962972, -0.427030050742606
0.8410345926907633, -0.014043824164662511, -0.013752453862323441, -0.013357756608329824
0.9742587782218407, -0.06670801090670284, -0.09266059538933541, -0.07356577510087511
0.5360430014782428, -0.6403519051074982, -0.9169505340321161, -0.6635917478524939
1.3533218631296549, -0.056831933725625276, -0.0698607554199005, -0.057706004970594894
1.2165318919182615, -0.06148570314288372, -0.07989780960537449, -0.06393520554346474
0.981758926461285, -0.08488653306243941, -0.10590435551414384, -0.09015119272663993
1.0875253625533001, -0.03441724965814501, -0.034109298208995005, -0.029070365684381035
1.4557826019098163, -0.11234840653394348, -0.16075925420486278, -0.11262551043866251
1.129607950928887, -0.028179049382684753, -0.03153460119806778, -0.030050948887953458
0.6420450162125274, -0.13617763846926392, -0.16462447489398982, -0.1303700669722543
1.3939978333634384, -0.08409327794174896, -0.10694242067322751, -0.08245801683063397
1.3380936062077182, -0.04150109809020069, -0.04695366838844395, -0.04163161098934171
1.4496415556152142, -0.14603221101127564, -0.3269550575700179, -0.16743856662085052
1.0421811441461524, -0.04803566431754734, -0.09478819279707006, -0.0491957744330441
0.9507888924253199, -0.0032159822470275686, -0.0034258210575827067, -0.003416130857931043
1.2241641857239105, -0.08911851197184296, -0.10998975733660743, -0.08866192083873183
1.3158596915999916, -0.04449986723077018, -0.054111995204686014, -0.04541742288732132
1.4029359935004857, -0.20443127008550802, -0.3579378848474814, -0.20378012830266948
1.31472094433316, -0.014446063483541365, -0.01567493966017226, -0.01507193625758482
1.5565688144037904, -0.06795135238172952, -0.08860946662433777, -0.0746427755365471
0.9644903055660025, -0.4547276497296989, -0.6411903328546394, -0.4199207799516098
0.992961557648178, -0.019749785948661155, -0.022814873107097754, -0.020669229191754426
0.7086388275166996, -0.03800007608975284, -0.044919644707896056, -0.03829077747798741
1.1604290937483117, -0.061780016271746716, -0.11163298825816544, -0.06212599836963398
0.9993036546054297, -0.17678667348390445, -0.3739870621728608, -0.19055176695047155
1.1592054260330216, -0.047193354453891515, -0.046911302153843926, -0.04475422152576175
0.7261507841116145, -0.2589824696194846, -0.38055801191432737, -0.25536303034720087
1.4511793042408285, -0.035089333974407055, -0.04504689403182918, -0.03721874649771829
0.7584011539600235, -0.008688051807810553, -0.00893567233465843, -0.00880445014448972
0.08627656368858876, -0.018457294002175332, -0.018457353015588197, -0.018457260435043137
0.762881422414929, -0.020219288714113645, -0.02230793740156589, -0.021900120200789318
0.7865889474528974, -0.008022145778406412, -0.008202991719691792, -0.008154355969201641
1.204104884070899, -0.037500823657959696, -0.047185205473974284, -0.03443125011020067
0.8442426836130981, -0.13504828597977758, -0.3040303643157142, -0.1417888654018884
0.8978434393324565, -0.6156775072114542, -0.9283764531745565, -0.6592645447915353
1.123490871077717, -0.08641464761260431, -0.13932466399221577, -0.09070426515834824
1.281348679054086, -0.2503290265771793, -0.36725577953800354, -0.23453416914330616
1.184914162362341, -0.03097006077854894, -0.033080777556659974, -0.030103931016221146
1.316776103849605, -0.02613212182983989, -0.036987994719054736, -0.028359166991478613
1.2636156838756714, -0.02053306492243428, -0.02218358618693744, -0.02168127294130725
1.0922255129387497, -0.21651010332570877, -0.3582313571607256, -0.2090399775188814
1.3497362721431332, -0.029705992284289096, -0.03308476777755559, -0.029898471207973988
0.974188756059713, -0.7060070631504058, -0.8815815944165699, -0.7110071455384391
1.154864861993653, -0.205804364042182, -0.31628058921561886, -0.18756992074766712
1.2872404564399507, -0.19749513309518807, -0.34159377204280494, -0.17854990789855693
1.3435811196112926, -0.2463284268148709, -0.3816007790172113, -0.24954720339629516
0.7457322606324368, -0.023896160396630877, -0.024165160651394558, -0.02385549200937259
0.8230116430723173, -0.006220377904479392, -0.005866176287658797, -0.005823017682007254
1.2765277875014567, -0.08741173923085443, -0.1612555343484923, -0.09190305565558755
1.199775570458128, -0.04279611246753484, -0.05006165176178239, -0.04637686690645744
