n: 10, k: 2000, t: 500
Entropy, Sampling, Jensen, Exact
0.758356812011607, -0.26867714885344324, -0.6206737659986955, -0.26759397427995396
1.190949701966558, -0.05124240542922416, -0.06848007624808351, -0.05194613973751075
0.882660163626389, -0.30480612509783533, -0.7484311001099536, -0.31350555075434944
0.40054047398364895, -0.01633306209105649, -0.017948314630356243, -0.016440977450363128
0.9060339139351029, -0.2264930438370793, -0.4109638961720844, -0.21347352532213684
1.3761832320641276, -0.114825555419171, -0.27810634553499997, -0.11355935864411791
0.9980730647678439, -0.1740971401165225, -0.3802381592553322, -0.18156707791271387
1.0405148304456435, -0.08639619988983759, -0.10399326636847384, -0.08461166273201828
0.28876760371999954, -0.02408875876333332, -0.024120322007217053, -0.02405330798357018
0.7069117853360942, -0.11767379391136637, -0.15189314332846096, -0.1260720604374915
0.7814975074530703, -0.7511975673525594, -1.3060460844445239, -0.7423231825559963
0.6714013643463372, -0.014887605154697666, -0.015530877624220294, -0.014814951326545282
0.8481452236675237, -0.009581085536434329, -0.012446863080449993, -0.00943042279058887
0.7871494052118089, -0.0021935774680459817, -0.002091855516049501, -0.0020883368172970066
1.303023305156546, -0.06043614094105942, -0.08257652908469165, -0.06369787743304692
0.5883350431584697, -0.05738475482622744, -0.10483939147457798, -0.061477351185625286
0.9846161540700894, -0.028445532504469156, -0.03315519959935066, -0.029857815417265295
0.8386081932556839, -0.006636082972228906, -0.007049076662166064, -0.0067681890936994865
1.0037660353561264, -0.030939854623750762, -0.04493473706535364, -0.03424927889364537
0.9859611339435643, -0.007861717779364872, -0.010055187473645848, -0.008818589075509158
1.0907185585810086, -0.05229484900402895, -0.08264593348426912, -0.054412856993397235
0.9681828973308695, -0.018937806381356496, -0.02001937384761904, -0.01820579658963414
1.0057439689047345, -0.05958547894004732, -0.08250520241904999, -0.05900126237753805
0.8900243228398634, -0.019737620201703977, -0.02058277812470171, -0.019352195859826293
0.6394315705533815, -0.2002712788315257, -0.35183413960128895, -0.18872979586599384
1.2555809661874286, -0.11450487282338145, -0.19799721808774545, -0.10842461278112324
0.687401270938907, -0.0507019136591698, -0.06262386446394597, -0.051844554548672823
0.7509976859733716, -0.005085578282780255, -0.005083459924816098, -0.004947362829900335
1.0396340324524815, -0.03775069900143717, -0.0543212861650592, -0.03899578391439633
0.8317695029076188, -0.11302265984318365, -0.17885078456737055, -0.11032458897194325
0.5926761470025405, -0.012323806228116154, -0.012506930922108481, -0.012484048312291407
0.32625370178212737, -0.0219873803507071, -0.022086429188740594, -0.02202510335823913
1.1077008299261315, -0.027496822886663722, -0.05559022804262846, -0.02999112074818601
