n: 5, k: 500, t: 500
Entropy, Approximation Gap
1.7125203286191681, -2.4205743726500215e-06, 1.1542948096310355e-09
1.2283338072325296, 2.3236584669282179e-07, 1.0846907164238813e-10
1.5081291975761464, 1.7746703247759386e-07, 6.60859969592103e-10
1.5491304528950414, -1.238795807589305e-06, 1.1242599140636313e-09
1.49789064721614, 2.0305642076748015e-07, 6.805265171827855e-10
1.7357276623773898, 1.573622184910533e-08, 1.5040465447526893e-09
1.653572444866019, -9.220394301094044e-08, 1.7935756465502174e-10
1.6694345608117078, 3.0905657750775947e-07, 1.522758757458871e-10
1.5550875292154427, -7.507237551149154e-07, 2.5055609537635734e-10
1.6303966589788845, 1.86250401162309e-06, 1.0570023487966945e-09
0.8251680130422759, 1.8456200625485952e-06, 1.1896035657059508e-09
1.4365544414402973, -1.5217812115610925e-06, 1.5702635084547485e-09
1.2789006625551829, 1.0194249382646211e-06, 4.778438526805649e-10
1.3171748030498065, 2.3688257328141476e-06, 9.100903535933034e-10
1.377506905694426, 1.7687756459415834e-07, 1.749044266708598e-10
1.3332928030184796, -4.011141431638666e-08, 1.146473971086214e-10
1.2896039882366996, 7.92474568134517e-07, 5.438184896635625e-10
1.117798880718602, -3.212314626380339e-07, 3.564605709629475e-11
1.3714602430249334, -2.1047993359010452e-06, 5.452531630631337e-10
1.3334228415504867, 8.002635776612389e-07, 9.703214606350335e-10
1.216626547913931, 1.2636581265465677e-07, 6.506164858456647e-11
1.0929731500716349, 1.8517393281499637e-06, 6.854122840549025e-10
1.0423782290247574, 9.063874584841991e-07, 9.953992581870853e-10
1.5479151823541581, -1.4380332900470043e-06, 4.791099825223908e-10
0.9335227540046624, -2.1130932559835576e-07, 7.097294388967729e-10
1.7037564036022694, 1.6412435387104589e-06, 1.136311618011313e-09
1.7845111969264624, -3.915203373036028e-07, 4.541143307829114e-10
1.5462966752494518, 3.356206635757045e-07, 3.0516209100236817e-10
1.1219264455835745, -2.3613247309884268e-06, 1.1049006312134689e-09
1.1989482694959306, 1.3325192077902329e-06, 1.6574487476058212e-09
0.9246423089818281, 7.354574891046664e-07, 7.568776311363344e-10
1.7234313528589642, -9.19137976471566e-07, 6.163863804672758e-10
1.335062808729837, 9.121035664688579e-08, 8.65859253545119e-10
1.540095172982642, -5.002425682498105e-07, 5.842570222773963e-10
1.6614385604100996, -2.3043771732956683e-07, 2.1864168106169006e-10
1.5704446146607576, -1.2084324465771482e-06, 5.47151950554644e-10
1.5384834084418935, -1.2866986145568811e-06, 3.1907716152947997e-10
1.6397457561691584, 1.9189868296231894e-06, 5.078449931566228e-10
1.110013704987256, 1.3609245808581644e-06, 1.6186795091487614e-09
1.1842677515496258, 8.846831289242688e-07, 8.785823440536492e-11
1.6486707288446076, -1.7041038346589794e-07, 3.0226097497215384e-10
1.5206966843128007, 8.915482972745361e-07, 2.3607229268545805e-10
1.7284790292473968, 6.171819520737261e-07, 6.026534386578567e-10
1.3386252037148858, 1.4613388967847705e-06, 3.442878588440294e-10
1.3029702578153342, -3.147394628234083e-08, 1.1559725173262641e-10
1.5018115710891706, -1.1020149824165921e-06, 2.948204643511636e-10
1.2319722659829162, -2.2595231300430902e-08, 3.3571811080545535e-11
1.7489082395925486, -1.5130186624480896e-06, 9.101286772025905e-10
1.0979288993327914, -4.631957516052704e-06, 1.7804991974334442e-09
1.563008696208426, 8.558189081843066e-07, 6.579133979995602e-10
1.1157363431211886, 1.2373088438538338e-06, 8.081300350160358e-10
1.0986754315993086, 7.728188355287674e-09, 1.2817574624411214e-11
