n: 6, k: 1000, t: 700
Entropy, Sampling, Jensen, Exact
0.5112758313111414, -1.8065878319131022e-05, -1.9657198040629097e-05, -1.9652353000103155e-05
0.3802547146062758, -6.955354228716074e-06, -8.207277176100356e-06, -8.206587846505959e-06
0.4425994956275236, -5.975070707556456e-06, -6.253718436239015e-06, -6.2534220367937055e-06
0.7290600470554938, -5.522214157999641e-05, -5.6244248007913704e-05, -5.624104159814764e-05
0.5463355289700466, -7.033448523360135e-05, -7.028327372838934e-05, -7.028256346700259e-05
1.1742711140656557, -0.0008479911608064458, -0.0007898977365278097, -0.0007886726883672208
0.4564661456278547, -2.7588123159077216e-05, -2.7994767928018135e-05, -2.799421535553472e-05
0.4727747636553077, -0.00014666262515674661, -0.0001641043774869515, -0.0001640135915898796
0.8431338635062408, -0.0007368354028766877, -0.0007005792313713381, -0.0007002129782732324
0.39746842788469855, -0.00013658327289703764, -0.0001402768452514097, -0.00014026905540687494
0.34695400451478053, -0.001280705383991516, -0.0012637757457955637, -0.0012635227462523034
0.4168605767107258, -0.0003359230679016036, -0.00033504219885139853, -0.00033498498690954354
0.6535533567529493, -0.00020123164141659745, -0.0002020559598560372, -0.00020199895334299992
0.4331128172444249, -0.000573031034844461, -0.0005736779689352833, -0.0005736773316260832
0.39959405540825516, -7.813789919964592e-05, -8.607786064447601e-05, -8.606221104577456e-05
0.9008213057570128, -4.6180945539160886e-05, -4.289518675223298e-05, -4.289003842067638e-05
0.2508747979564746, -0.00072169131277769, -0.000737634891685448, -0.0007375895896855647
0.49963663713497675, -7.39219756651352e-05, -7.392820197709411e-05, -7.392438107547336e-05
0.3640538725269018, -4.282193459581867e-05, -4.4481080534485754e-05, -4.44787096033242e-05
0.4741783071757221, -0.00012028085522797372, -0.00012166931342293392, -0.00012165189714564032
0.8834042348657501, -0.00012065657330443883, -0.00010946106969392065, -0.0001093696329362783
0.8852188998373226, -0.00023407296677928498, -0.0002548826939510836, -0.0002546677868505886
0.23792803380963135, -0.0003386312590700623, -0.0003349857380539912, -0.0003349629290853275
0.7263501275246812, -3.266662721012111e-05, -3.077718534559872e-05, -3.0766911513400834e-05
0.9201628461708893, -0.0003900264553393349, -0.00041028486581087847, -0.00040997778855539346
0.4397388756639577, -0.0009511676275250958, -0.0009632918434180409, -0.0009628708084846015
0.5073576915634316, -0.00010102985431330049, -0.00010137445700094202, -0.00010137224747118614
0.6170435954593786, -0.00028675813761579194, -0.00028761094192786556, -0.00028750307330275334
0.8873337846948335, -8.650473562541289e-05, -8.89158395437469e-05, -8.876026977808424e-05
0.6016871065356294, -4.2976007676701705e-05, -4.241333644640569e-05, -4.240965940404956e-05
0.22090011423651493, -3.2618095697890474e-05, -3.0363216201035767e-05, -3.035472235842107e-05
0.6022601221540255, -4.3548712712423235e-05, -4.428786960586762e-05, -4.428069449362636e-05
0.5307495246586618, -2.477316872846777e-05, -2.3016295621270523e-05, -2.3010283731891902e-05
0.6009953976145692, -0.00018675657401942655, -0.00017772973664004348, -0.00017766184092754057
0.672595476064089, -0.0004939450257897898, -0.0005161079337528164, -0.0005158119582757769
0.9848658949478875, -5.941852472452386e-05, -6.030066170611696e-05, -6.029273186849471e-05
0.6950293968357851, -5.4891789690165934e-05, -5.121064587359157e-05, -5.1195695944310454e-05
1.1546389217161728, -0.00037998534455787773, -0.00038910283537184093, -0.0003884333117459151
0.7527679506324253, -0.00014529227864103046, -0.00016121552147799862, -0.0001609774562460867
0.5349258531217854, -4.770063040021297e-06, -5.956628770920989e-06, -5.956194851939412e-06
0.6382879627027095, -5.288736800866162e-05, -5.259495160977727e-05, -5.259385771644491e-05
0.9691569576512409, -0.00036550191072080417, -0.00036881766808262613, -0.0003686496350802375
1.0593170724030372, -0.0011644488393812895, -0.0010613900352123818, -0.0010586703824150359
0.7170286547761194, -0.00010093242673604727, -9.81956777401398e-05, -9.818543096453521e-05
1.0739846779858784, -0.0001049449393594209, -0.00010649179019684537, -0.00010644403619329589
0.6442815091976293, -7.310378486908947e-05, -7.365081364116112e-05, -7.365062526807786e-05
0.8684805728308186, -5.501454870856171e-05, -5.989862830587761e-05, -5.988382637451408e-05
0.6571000128313339, -0.00020730860014191147, -0.00021163330203775396, -0.0002115668327141652
0.8050253853937676, -6.108266703445913e-05, -6.0664569115431967e-05, -6.0653526187300075e-05
0.8175321422720518, -7.891443553486358e-05, -7.83144559915275e-05, -7.828666455949157e-05
1.2325191864442049, -0.00017749905099287254, -0.00015785745281519828, -0.00015770259687319016
0.9652613716344268, -0.00034594766364159907, -0.0003413601040701089, -0.0003410336823465089
0.8950274166713036, -8.581834244245448e-05, -7.52729716780832e-05, -7.52501626453087e-05
0.8637185637449502, -0.0016394903113923628, -0.0016188217824814363, -0.0016169494042153798
0.8962943820521337, -5.2384443702929214e-05, -5.3100638821696154e-05, -5.3092735817541344e-05
1.1004643103774112, -0.0004495291550119043, -0.0004535758908762359, -0.0004527672113806433
0.863835784204105, -0.00042501592672480876, -0.0004396822715248529, -0.000439247936697539
0.8697094445223108, -7.103171044924008e-05, -6.858827461298035e-05, -6.853295916200395e-05
0.7076995985624975, -0.00033162601637194467, -0.0003263862026272866, -0.00032634287531601376
0.6695643182815326, -0.0002590892648076974, -0.0002389219418200691, -0.0002388293128963041
0.9866650248903515, -0.00017670809463006643, -0.00018925944823608657, -0.0001890907752035961
0.6023614022218332, -4.349131203886764e-05, -4.3802991420955394e-05, -4.380069778898471e-05
0.6894256116134491, -0.00030713576213747536, -0.0002982566729843815, -0.0002981533075123253
1.047901018670563, -0.00015503122944831538, -0.00013752633656510119, -0.0001374154987314455
0.7703852110818913, -5.259654931049201e-05, -5.730779364150496e-05, -5.730031528172811e-05
0.8224954902669205, -0.0001560543529320702, -0.00015932636724521202, -0.00015926870306075177
1.0093036413712786, -0.0005054535964008626, -0.000458093738040294, -0.00045715014987922164
0.6111127596059941, -2.3522113533369063e-05, -2.3327468042639827e-05, -2.3325260374380474e-05
1.2068614731594718, -0.00065793306410338, -0.0006432927009157952, -0.0006426240799410074
0.8195965333869827, -0.00020085636193097495, -0.0001943429997121206, -0.00019417454372921495
0.605163489626193, -0.0012091006484370118, -0.0012095640260435655, -0.0012094196093326202
0.822597523442632, -7.308921490745486e-05, -6.926177010031513e-05, -6.92216983638426e-05
0.6922645651451518, -5.335818184535461e-05, -5.293095443597363e-05, -5.2930203589732004e-05
0.9391422309194623, -7.110490074763324e-05, -7.742781549719817e-05, -7.738133414187369e-05
1.0379809091064027, -7.414650648923784e-05, -7.715139113160204e-05, -7.710940054684729e-05
1.5867613030977552, -0.00015568057410377326, -0.00016489571676341747, -0.00016480889067079584
0.9059957288262868, -2.1622494148563123e-05, -1.8920296050103613e-05, -1.89175134913093e-05
0.7903430204475561, -0.00031270165483507844, -0.0003057313601562618, -0.000305614250011722
1.0916452667455787, -0.00016464505404647044, -0.00018363516566638016, -0.00018351811666518077
1.1645092308821376, -7.185230061256956e-05, -7.292193599232667e-05, -7.29195640559929e-05
0.8792053533918583, -9.269486844268075e-05, -9.944794548230353e-05, -9.942896043718417e-05
1.2883857322974281, -8.122520481806947e-05, -8.141982131344366e-05, -8.140653263096888e-05
1.0891131358879171, -0.000111222478120724, -0.00010982612496890804, -0.00010974339031481532
1.130209770433081, -0.00010894542078483549, -0.00011418781547196347, -0.00011414298920235541
0.4219190489405091, -0.0002442534473448177, -0.00024457091596803915, -0.00024454989074885433
1.0108634986883966, -0.00019031911839737737, -0.00020740125964141366, -0.0002073616564175373
0.8010201063107129, -0.00018093269769628139, -0.0001775825576916371, -0.0001773459070087052
0.8131058439764801, -0.000878712838926633, -0.0008508062879894103, -0.0008503593815431355
1.282801437610331, -0.0002499381162396564, -0.00022155145410787506, -0.00022143438645282285
0.9128629075831142, -0.00016700983705595634, -0.00016219056976010432, -0.0001621570576331799
1.1872129472009665, -2.829049191838401e-05, -2.7758183579397175e-05, -2.7745770136252343e-05
0.6436418660269423, -0.00043913652298211586, -0.0004144629706973872, -0.0004141459027909051
1.2221649697414065, -0.00028330647287106445, -0.0002822998382525403, -0.00028217344891278887
0.8432737430856901, -4.418542815598765e-05, -5.594324323550451e-05, -5.588744734903075e-05
0.8187077080073335, -8.730662353249272e-05, -7.715726449499822e-05, -7.714223324932578e-05
0.869191724419759, -0.0001788924400916303, -0.00017018423676674947, -0.00017010506953660535
0.8555979361088396, -5.2663142612787994e-05, -5.461573770419602e-05, -5.461245040677782e-05
1.2184408427718778, -0.0007862801646878925, -0.0008023214398842157, -0.0008019178945813388
0.9060322255320984, -0.00010515083702552925, -0.00011346271271300192, -0.00011310667828469733
1.0222334869710576, -0.0005337977637062865, -0.0005055069395588088, -0.0005048892780249006
0.7471543876878175, -8.30033896854494e-05, -7.976969764052932e-05, -7.972104762509541e-05
1.0130802052076933, -0.00020082718176666923, -0.00019078466308460997, -0.00019054247189653637
1.2001634639035066, -0.0006122188557709041, -0.0006297507232820683, -0.0006286898119238093
0.9159353117873947, -0.00018917130323459005, -0.00018489732028605113, -0.00018476263725317093
0.924230112623678, -0.0002806472875999726, -0.00027069462743210994, -0.00027040356553550564
1.2316367267028352, -0.00019937600004223157, -0.0002173905845074082, -0.00021706668481624413
0.895050823275309, -0.00043261275276378216, -0.00041908819229563777, -0.000418755176184383
0.7683046477988124, -5.1309685844765094e-05, -5.0637737693412104e-05, -5.0634643397633426e-05
0.9424471777759335, -2.8302678920065818e-05, -2.9439901448758698e-05, -2.9435179758806553e-05
1.228278169622964, -0.00034570065542891654, -0.00036996229108000466, -0.0003693555247209701
1.2000473865828656, -3.7701532242668996e-05, -3.5907652992194917e-05, -3.589395445283847e-05
1.141663121291434, -0.00044207306384120117, -0.00045705644258344424, -0.0004567779686621666
1.0092013958227442, -0.00016745692602488876, -0.00016440985310449218, -0.00016438317102475945
1.1142401429313524, -0.00016863286862277654, -0.00017294880395827574, -0.00017267447894774796
0.8244655195674282, -0.0001065392568289022, -0.00010697885189117896, -0.00010697661211154212
1.1754038716288606, -0.00031556713227825193, -0.0003330392802930185, -0.00033239936863497735
0.8897460514248191, -0.00017868791855106964, -0.00018618634576540898, -0.0001861327705928662
1.4621797037031186, -0.00034723796366955114, -0.0003836436595030771, -0.00038302804580906264
1.131494655402735, -0.00012284859605276614, -0.0001252311766960545, -0.00012521402248214547
1.1490428095143232, -0.00023154085896743036, -0.0002532270774214489, -0.00025293929995539064
0.8911650904060142, -0.00012646724398096134, -0.00015993851534457906, -0.00015965401016376234
1.2113165374926738, -0.00036624466741329856, -0.00035445697284872666, -0.0003542616333818891
1.0888274155406292, -0.00016664341375321158, -0.00017165332828700936, -0.00017155443812876924
0.973421083838201, -0.0004060080146226752, -0.00040108326865056414, -0.0004006159925023035
1.302674283088561, -0.0007504312231266783, -0.0007398123992393909, -0.0007393318988353099
1.2250571320779933, -0.00015996700879257947, -0.00015781971454826188, -0.00015769662622065476
1.3341108682857425, -0.0005336546123507617, -0.0005396084942544274, -0.0005391961356636543
0.9845656896771455, -0.0006451588664222026, -0.0006496384936968956, -0.0006492629718245059
1.0703954410440943, -0.0004240534230739258, -0.00044743751451080865, -0.0004468972683962184
1.374234361300345, -0.00011217294804361838, -0.00011286144735284104, -0.00011277952027784183
1.3572844441197398, -5.5673699593032174e-05, -6.28416145873203e-05, -6.28190721778206e-05
1.3854713186139718, -0.0002338235290280105, -0.0002343354561911487, -0.00023418726816070988
1.034411323923496, -6.271464193909981e-05, -6.374352186588108e-05, -6.37167726899449e-05
0.9342788574223581, -4.850329679338581e-05, -5.845110956819157e-05, -5.839065352355641e-05
1.2799878517007333, -0.000771443219495217, -0.0007706900652942913, -0.0007694800284498547
1.2187249486695377, -2.8561356753742412e-05, -3.001655068252036e-05, -3.000324070972182e-05
1.2436438888248467, -8.231894709380809e-05, -9.013150585566682e-05, -9.009206088360656e-05
1.2781479482390259, -6.49124698319469e-05, -5.5792004590420475e-05, -5.576187662251704e-05
0.6722140317282502, -0.00011381417248776142, -0.00011739047543623308, -0.00011736820795612672
1.1809490254986321, -0.0002094642625542654, -0.00018474415549150198, -0.00018455887155744235
1.0420229971094832, -4.9112427431091647e-05, -4.380496855741183e-05, -4.37866252083209e-05
0.8381634646227538, -0.00015724834432142898, -0.00016122524402241645, -0.00016116274913895916
1.2576992983100201, -0.00040676080287444687, -0.00038007718118637313, -0.0003797425571676374
1.1255819733394037, -0.00032085396296495605, -0.00030150656930873253, -0.0003013312139710495
1.2215521587390912, -0.0005746595399649849, -0.0005354911598060715, -0.0005350282266793771
1.2207812843144392, -0.0010408999100618216, -0.0010158658080967188, -0.0010153654069681676
1.2330911476097541, -0.00026020738828079465, -0.00025983188929626935, -0.00025958233685758833
1.0202749552001589, -0.000126632320505402, -0.00012820671511100956, -0.00012817978195193134
1.2121976494675428, -0.0002047838284705929, -0.00021554818814501612, -0.0002152732858287522
1.31833774181866, -0.0005321801045265385, -0.0005281980766762189, -0.0005276336006360821
1.206378323717637, -0.00016367774612621947, -0.00015793964329994414, -0.00015787251182075368
1.2931275428625493, -9.395881344966102e-05, -9.483281506595474e-05, -9.480668285703084e-05
1.1440025311243711, -0.0003072492575829279, -0.0003132536614765433, -0.0003127885115015766
1.5590644138314913, -8.978128066506603e-05, -0.00010413152281161481, -0.0001040770569176789
1.2416812285181378, -5.7971750724204106e-05, -6.819394383569088e-05, -6.81204666842759e-05
1.104086706675247, -0.0005724333744928495, -0.0005821530909307044, -0.0005814737379354419
1.3633770455112584, -0.00016463230002950675, -0.00016723997237079281, -0.00016704601835052483
